URL,BGM title,Game
https://www.youtube.com/watch?v=movXvcNPEmA,home,Ao Oni online
https://www.youtube.com/watch?v=XAasvyg5aGM,Third Ao Oni,Ao Oni online
https://www.youtube.com/watch?v=AM0loNpp3gQ,Second Ao Oni,Ao Oni online
https://www.youtube.com/watch?v=8lZy-71Soc8,First Ao Oni,Ao Oni online
https://www.youtube.com/watch?v=dpNtJhTAG10,Boss,Ao Oni online
https://www.youtube.com/watch?v=U0odfeVF1io,喪鐘為你而響,Devotion
https://www.youtube.com/watch?v=8yW88TKSumE,無法面對,Devotion
https://www.youtube.com/watch?v=IUyWrhk7c3Q,禁錮,Devotion
https://www.youtube.com/watch?v=eZSAHzPouf4,抓周,Devotion
https://www.youtube.com/watch?v=TpQjvJf_A_w,無可回頭,Devotion
https://www.youtube.com/watch?v=bLI9T0hICJY,Main Menu Theme,Five Nights at Freddys 1
https://www.youtube.com/watch?v=bJZ_0jRapvU,Main Menu Theme,Five Nights at Freddys 2
https://www.youtube.com/watch?v=B9JaOq4kpTc,Trailer Song,Five Nights at Freddys 2
https://www.youtube.com/watch?v=omucNKIIjyk,Main Menu Theme,Five Nights at Freddys 3
https://www.youtube.com/watch?v=rOBQ6wEJ-dI,Main Menu Theme,Five Nights at Freddys 4
https://www.youtube.com/watch?v=Pebi2O4uL7E,Memory,IB
https://www.youtube.com/watch?v=coiYgHmZnXo,Puppet,IB
https://www.youtube.com/watch?v=uGjtib7dWNM,Departure,IB
https://www.youtube.com/watch?v=ChdaDXVxQlc,doll,IB
https://www.youtube.com/watch?v=oTBq_8j1-3Q,Your Fault,Phasmophobia
https://www.youtube.com/watch?v=96LN05yAGmo,Adrift,Phasmophobia
https://www.youtube.com/watch?v=jPE73zebjY8,End Credits,Outlast
https://www.youtube.com/watch?v=nEjn63QGL-s,Main Menu,Outlast
https://www.youtube.com/watch?v=KbMnl9oNeLY,Finale,Outlast
https://www.youtube.com/watch?v=zw7FyjOb43c,Chou,Fatal Frame II Crimson Butterfly
https://www.youtube.com/watch?v=tsafdGXBefI,Festival,Fatal Frame II Crimson Butterfly
https://www.youtube.com/watch?v=wKwMyV8ZvZk,Crimson Butterfly,Fatal Frame II Crimson Butterfly
https://www.youtube.com/watch?v=Uzh9vurt8i8,Spooky Opera Singing Ghost,Paranormal HK
https://www.youtube.com/watch?v=EkkhobCQjGk,Blue Knees Song,MADiSON
https://www.youtube.com/watch?v=8rrO0kz7dIo,Si Tu Quieres Bailar No Hay Salida,MADiSON
https://www.youtube.com/watch?v=m2Lx-Awd3Vc,Main Theme,Detention
https://www.youtube.com/watch?v=pNLdkgtFgc8,Beginning of the End,Detention
