URL,BGM title,Game
https://www.youtube.com/watch?v=BFSWlDpA6C4,Doki Doki Literature Club!,Doki Doki Literature Club
https://www.youtube.com/watch?v=ebCaM6Z1_XU,Peachy Pie,Doki Doki Literature Club Plus
https://www.youtube.com/watch?v=429NnlSrWwY,My Song Your Note,Doki Doki Literature Club Plus
https://www.youtube.com/watch?v=Ad5HtKcey-k,Lazyli the sun shine,Tricolour Lovestory
https://www.youtube.com/watch?v=FRJLaNneHQQ,The Precious Recess,Tricolour Lovestory
https://www.youtube.com/watch?v=SXMfxxFh-uU,The Amethis A like eyes,Tricolour Lovestory
https://www.youtube.com/watch?v=9dFOp_FFaHU,The Orange umbrella,Tricolour Lovestory
https://www.youtube.com/watch?v=moakU878b6o,The Quiet Night,Tricolour Lovestory
https://www.youtube.com/watch?v=ZstSWr3lEnk,Reminiscence,AIR
https://www.youtube.com/watch?v=xtYrERoq_W8,Path in a Field,AIR
https://www.youtube.com/watch?v=KUiZ991XUCQ,Summer Light,AIR
https://www.youtube.com/watch?v=9tPsnNdqmzA,Splashing Water,AIR
https://www.youtube.com/watch?v=wEwP3pZUflA,Tranquil Moments,ATRI My Dear Moments
https://www.youtube.com/watch?v=rOFomuiZpW4,Days Of Love,ATRI My Dear Moments
https://www.youtube.com/watch?v=eZEbFMqo9K0,Sunshine On Deck,ATRI My Dear Moments
https://www.youtube.com/watch?v=kmYga88wYdE,Good Morning Sunshine,ATRI My Dear Moments
https://www.youtube.com/watch?v=ESErNV6Zc2M,Summer Pockets,Summer Pockets
https://www.youtube.com/watch?v=l0WqQWv30A0,Sea You & Me,Summer Pockets
https://www.youtube.com/watch?v=oq7c-_XKl4c,That's Like the Wind,Clanned
https://www.youtube.com/watch?v=UNs0NYEggTk,Nagisa,Clanned
https://www.youtube.com/watch?v=kxlxbcS-Ics,Wings of Courage,Aokana
https://www.youtube.com/watch?v=pl6PPX4s5vg,INFINITE SKY,Aokana 2
https://www.youtube.com/watch?v=nSVMrYAThHg,One of a Kind,Aokana EXTRA 2
https://www.youtube.com/watch?v=5aBi8nxmiVg,One Small Step,Aokana EXTRA 1
https://www.youtube.com/watch?v=ZUMuthjR_-g,Far Remembrances,Cyanotype Daydream
https://www.youtube.com/watch?v=JEWwnZJbcE8,Azure Sky,Cyanotype Daydream
https://www.youtube.com/watch?v=2XqE1iek_q4,No More Tears,Cyanotype Daydream
https://www.youtube.com/watch?v=F9HGSwyqk6I,To Whom my Tears Go,Cyanotype Daydream
https://www.youtube.com/watch?v=2zLlfPO3IpI,Anytime Anywhere,YOU and ME and HER A Love Story
https://www.youtube.com/watch?v=RmFvnlo9Xm8,Hopes and Fears,YOU and ME and HER A Love Story
https://www.youtube.com/watch?v=Yuyby4E7zNY,Shades of Grey,YOU and ME and HER A Love Story
https://www.youtube.com/watch?v=fI4iTntnVvQ,FRIENDS!,YOU and ME and HER A Love Story
https://www.youtube.com/watch?v=MphqBbeYatk,Main Menu,MiSide
https://www.youtube.com/watch?v=tk0i5IRCdHc,Awakening,MiSide
https://www.youtube.com/watch?v=4Y0LSSBZyfU,Menu Cloth,MiSide
https://www.youtube.com/watch?v=m_nlLmWRj_k,Mila's Room,MiSide
https://www.youtube.com/watch?v=cmq8MPdwBTA,Shirojo,Kindred Spirits on the Roof
https://www.youtube.com/watch?v=vRCtObfBOhE,My Territory,Kindred Spirits on the Roof
https://www.youtube.com/watch?v=H3EvSvn0_N4,Sweet Words Sweet Hearts,Kindred Spirits on the Roof
https://www.youtube.com/watch?v=dQAuJc_SrSw,Activation,Taiwan Love Story
https://www.youtube.com/watch?v=Zu1wxUOXhP8,With You,Taiwan Love Story
https://www.youtube.com/watch?v=9MY6yQAal5k,True Love for You,Taiwan Love Story
https://www.youtube.com/watch?v=kF0cA_wyydQ,朝影,Kanon
https://www.youtube.com/watch?v=_TEqFQWzseE,夢の跡,Kanon
https://www.youtube.com/watch?v=x9QiGqI7IGg,約束,Kanon
https://www.youtube.com/watch?v=y3dvcagNTj4,Beyond the Sky,Symphonic Rain
https://www.youtube.com/watch?v=wtVJr-LCjbA,Rain Musique,Symphonic Rain
https://www.youtube.com/watch?v=BFHCxcG6cG0,アぺイリア,The sea of the landscape Apeiria
https://www.youtube.com/watch?v=iJbl00kz-Mk,混迷,The sea of the landscape Apeiria
https://www.youtube.com/watch?v=sit6-8JdCq0,試行錯誤,The sea of the landscape Apeiria
https://www.youtube.com/watch?v=uzCmNee4EgY,思考,The sea of the landscape Apeiria
https://www.youtube.com/watch?v=UUL0ZjTXb9M,戦闘,The sea of the landscape Apeiria
https://www.youtube.com/watch?v=KtvgkPZVrB4,Opening,Tousui Kitan
https://www.youtube.com/watch?v=uCK53mkGPI8,Title,Tousui Kitan
https://www.youtube.com/watch?v=XwgFUjtP7Us,eve,Tousui Kitan
https://www.youtube.com/watch?v=MEJC0FsCido,Star Trip,Hoshizora Tetsudou to Shiro no Tabi
https://www.youtube.com/watch?v=TtlYux7UoRg,White Albumn,White Albumn
https://www.youtube.com/watch?v=tTov30d9Nbs,届かない恋,White Albumn
https://www.youtube.com/watch?v=crX40F8V-aI,雨,ONE
https://www.youtube.com/watch?v=UtyDdKePwDg,オンユアマーク,ONE
https://www.youtube.com/watch?v=siuZVAUU4lU,乙女希望,ONE
https://www.youtube.com/watch?v=iXAs3EQen1c,輝く季節へ,ONE
https://www.youtube.com/watch?v=7qQFTTjA_lk,Hachiroku's Theme,Maitetsu
https://www.youtube.com/watch?v=epF-9tqxi-E,Paulette's Theme,Maitetsu
https://www.youtube.com/watch?v=py6SXbZa8p8,Breakfast Time,Collar X Malice
https://www.youtube.com/watch?v=TQonwRTVc78,Lunch Time,Collar X Malice
https://www.youtube.com/watch?v=G1r8P0OI7Ek,Everyone All Around,Collar X Malice
